Item Name,Qty,Price (total) (USD),Item link,Notes,,
"""Standard"" Nema 14",1,$23.57,https://www.omc-stepperonline.com/de/nema-14-bipolar-0-9deg-11ncm-15-58oz-in-0-4a-10v-35x35x28mm-4-draehte-14hm11-0404s,Used in joint 3,,
"""Better"" Nema 14",1,$15.20,Nema 14 Bipolar 1.8deg 40Ncm(56.64oz.in) 1.5A 35x35x52mm 4 Drähte - 14HS20-1504S|STEPPERONLINE,Used in joint 2,,
a4988 stepper drivers,3,$10.35,https://arduino-projekte.info/products/steppertreiber-a4988,stepper drivers,,
axial bearing,1,$7.72,https://www.amazon.de/gp/product/B0CJ6WCP9X?smid=A3GOZYCJQ7M67E&psc=1,used to support the rotating base,,
M3 screws,1,$8.07,https://www.amazon.de/Schrauben-Innensechskantschrauben-Gewindeschrauben-Unterlegscheiben-Linsenkopfschrauben/dp/B0DQ3BYBLQ?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3QXPEMCOL0JVJ&dib=eyJ2IjoiMSJ9.vGd-nEfiKCTdBB_NGeZYsCv49HvB2w2Ugi81qxXV-cpx1qIva3uH6Zwp4wK2DjLJBosDybnVMjTTS3xy7VZgtpqrrNR4p1z_UkU2g1X9M0wUqI4A_IcKmqEF6ntAxuLEA3li5SGrcq_Cc8XzOs_nK5v4Q1T43QrQX33a01nQMYQdRjWYgOw2SUqzkjSuwTKuIM1tOsNkaIJuxMb_XIQJghYnJEzSPFAZrGHdgQqx--1vzdY9cQAfM7EsCQ2kQFB5R4f-eNXv0-9VriBNquRTFyLE5QMKAurhDan54XSZke4.-_6pvajo9aFtpQP1KOpaTjNlwrLxmCUFxEQhVo_8yFk&dib_tag=se&keywords=m3%2Bscrew%2Bset&qid=1772915047&s=industrial&sprefix=m3%2Bscrew%2Bset%2Cindustrial%2C122&sr=1-10&th=1,the main type of screw in this project,,
exctension cables for steppers,1,$5.76,https://www.amazon.de/Tiardey-Schrittmotorkabel-3D-Drucker-Schrittmotor-Schwarz/dp/B0CVVSGLK7,Needed longer cables to ensure full freedom of arm,,
cnc shield,1,$5.66,https://funduinoshop.com/elektronische-module/schnittstellen-konverter/cnc/a4988-cnc-shield-v3.0-fuer-arduino-uno-controller,"Needed for my motors to work, soldered one myself before that which barely worked",,
fan for electronics,1,$9.10,https://www.amazon.de/Almocn-Raspberry-L%C3%BCfter-b%C3%BCrstenloser-K%C3%BChlk%C3%B6rper/dp/B08HQ1SVFT?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.i6MtYulLX67OoMPSWluD30A3dhRkSfsoQ2ccYe_MOQJ0wvmijgNAWpFliZesYJPs4eoxWzOgq_EjDJbJrotLlFSOef2HgPiUUyH07dnHwZq1MYdt2H-hUvA06iuhQT_fifKaaBD6S3ldOmqwWfoAyiTNVuqr4s9hbkY9ATSOSd_Y49q2OGcLiYUq_n6FASTnEiucWXSYq8HBESAeyz0d_XwNfvKreeafdfzMhdqL5WwNqvI0W27_zisC-YMZoSgTkuP2Pv79zuFBSybqAtp9-HgqImmd0kBFj8kiyqgTd3g.qOl_swf6_ygLV6zljwwuTGMMHdM7KnEeQsKMOJIxQi4&dib_tag=se&keywords=5+V+30+x+30+x+7+mm+fan&qid=1790174354&s=computers&sr=1-2,For cooling the drivers which get hot af,,
Nema 17,1,$9.46,https://www.omc-stepperonline.com/de/nema-17-bipolar-45ncm-63-74-oz-in-1-5a-42x42x39mm-4-draehte-17hs15-1504s-x1,Needed for more torque for base joint,,
Hall effect sensors,3,$2.04,https://de.aliexpress.com/item/1005007195591707.html?spm=a2g0o.order_list.order_list_main.17.2eff5c5fPfxXJ0&gatewayAdapt=glo2deu,For homing,,
Magnets,3,$4.77,https://www.amazon.de/dp/B0FN6WBRV8?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,For homing,,                  
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Power supply 30v 10A,1,owned,,,,
soldering iron + accesories,1,owned,,,,
bambu lab A1 printer + filament,1,owned,,,,
arduino,1,owned,,,,
multimeter,1,owned,,,,
"tools, (lots of) cables...",,,,,,
,,,,,,
Total Price (USD):,$101.70,,,,,
